Race,County,District,Candidate Name,Party,Percent of Votes,Count of Votes,# Precincts Counted,Total # of Precincts,Winner Flag
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 3-1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 3-1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 3-1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 3-2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 3-2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 3-2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 4,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 4,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 4,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 5,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 5,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 5,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 6,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 6,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 6,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 7,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 7,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,FRANKLIN,FRANKLIN 7,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,GRAND ISLE,GRAND ISLE-CHITTENDEN,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,GRAND ISLE,GRAND ISLE-CHITTENDEN,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,GRAND ISLE,GRAND ISLE-CHITTENDEN,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,LAMOILLE 1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,LAMOILLE 1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,LAMOILLE 1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,LAMOILLE 2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,LAMOILLE 2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,LAMOILLE 2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,LAMOILLE 3,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,LAMOILLE 3,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,LAMOILLE 3,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,LAMOILLE-WASHINGTON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,LAMOILLE,LAMOILLE-WASHINGTON,CRIS ERICSON,Prog,0%,0,0,275,false
